Sections Found,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,,,,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),09/02-09/02,TBA,,,,
,,,,,,,,T,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),09/14-09/14,TBA,,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),09/16-09/16,TBA,,,,
,,,,,,,,T,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),09/28-09/28,TBA,,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),09/30-09/30,TBA,,,,
,,,,,,,,T,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),10/12-10/12,TBA,,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),10/14-10/14,TBA,,,,
,,,,,,,,T,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),10/26-10/26,TBA,,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),10/28-10/28,TBA,,,,
,,,,,,,,T,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),11/09-11/09,TBA,,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),11/11-11/11,TBA,,,,
,,,,,,,,T,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),11/30-11/30,TBA,,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,Jens A Stephan (P),12/02-12/02,TBA,,,,
SR,11077,ACC,342,10,MA1,3,Managerial Cost Accounting,,TBA,25,0,25,99,0,99,0,0,0,Jens A Stephan (P),08/30-12/17,ONLINE,,,,
,,,,,,,,T,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),08/31-08/31,TBA,,,,
,,,,,,,,R,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),09/02-09/02,TBA,,,,
,,,,,,,,T,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),09/14-09/14,TBA,,,,
,,,,,,,,R,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),09/16-09/16,TBA,,,,
,,,,,,,,T,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),09/28-09/28,TBA,,,,
,,,,,,,,R,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),09/30-09/30,TBA,,,,
,,,,,,,,T,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),10/12-10/12,TBA,,,,
,,,,,,,,R,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),10/14-10/14,TBA,,,,
,,,,,,,,T,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),10/26-10/26,TBA,,,,
,,,,,,,,R,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),10/28-10/28,TBA,,,,
,,,,,,,,T,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),11/09-11/09,TBA,,,,
,,,,,,,,R,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),11/11-11/11,TBA,,,,
,,,,,,,,T,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),11/30-11/30,TBA,,,,
,,,,,,,,R,02:30 pm-03:45 pm,,,,,,,,,,Jens A Stephan (P),12/02-12/02,TBA,,,,
