Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
,12268,COSC,471,0,OS1,4,Database Principles,T,01:00 pm-02:50 pm,30,21,9,0,0,0,30,25,5,Krishnakumari Narayanan (P),08/30-12/17,ONLINE,
,,,,,,,,R,01:00 pm-02:50 pm,,,,,,,,,,Krishnakumari Narayanan (P),10/14-10/14,ONLINE,
,,,,,,,,R,01:00 pm-02:50 pm,,,,,,,,,,Krishnakumari Narayanan (P),11/18-11/18,ONLINE,
,14295,COSC,473,0,OS1,4,Big Data II,MW,11:00 am-12:50 pm,30,5,25,0,0,0,30,5,25,Andrii Kashliev (P),08/30-12/17,ONLINE,
,12564,COSC,480,0,OS1,4,Cybersecurity,TR,09:00 am-10:50 am,30,21,9,0,0,0,30,29,1,Biswajit Panja (P),08/30-12/17,ONLINE,
C,12275,COSC,481W,0,OS1,3,Software Engineering Project,MW,05:30 pm-07:10 pm,30,27,3,0,0,0,30,30,0,Siyuan Jiang (P),08/30-12/17,ONLINE,Writing Intensive
,12385,COSC,481W,10,OS1,3,Software Engineering Project,TR,01:00 pm-02:50 pm,30,11,19,0,0,0,30,12,18,Biswajit Panja (P),08/30-12/17,ONLINE,Writing Intensive
C,12375,COSC,522,0,M5,3,CommNetworks & Distributed Sys,TR,05:30 pm-07:10 pm,30,3,27,0,0,0,30,30,0,Aby Tehranipour (P),08/30-12/17,TBA,
C,16074,COSC,525,10,M5,3,Computer Systems Principles,MW,01:00 pm-02:50 pm,30,0,30,0,0,0,30,30,0,Matthew Evett (P),08/30-12/17,TBA,
C,13054,COSC,540,0,OS5,3,Web Technology,TR,03:00 pm-04:50 pm,30,2,28,0,0,0,30,32,-2,Suchindran Maniccam (P),08/30-12/17,ONLINE,
C,16069,COSC,557,10,M5,3,Computer Game Programming and Design,MW,09:00 am-10:50 am,30,1,29,0,0,0,30,30,0,Matthew Evett (P),08/30-12/17,TBA,
,12269,COSC,571,0,OS5,3,Database Mgmt Systems Dsgn,T,01:00 pm-02:50 pm,30,4,26,0,0,0,30,25,5,Krishnakumari Narayanan (P),08/30-12/17,ONLINE,
,,,,,,,,R,01:00 pm-02:50 pm,,,,,,,,,,Krishnakumari Narayanan (P),10/14-10/14,ONLINE,
,,,,,,,,R,01:00 pm-02:50 pm,,,,,,,,,,Krishnakumari Narayanan (P),11/18-11/18,ONLINE,
C,12276,COSC,581,0,OS5,3,Software Design & Development,MW,05:30 pm-07:10 pm,30,3,27,0,0,0,30,30,0,Siyuan Jiang (P),08/30-12/17,ONLINE,
,14298,COSC,581,10,OS5,3,Software Design & Development,TR,01:00 pm-02:50 pm,30,1,29,0,0,0,30,12,18,Biswajit Panja (P),08/30-12/17,ONLINE,
,12565,COSC,592,0,OS5,3,Cybersecutity,TR,09:00 am-10:50 am,30,8,22,0,0,0,30,29,1,Biswajit Panja (P),08/30-12/17,ONLINE,
,13057,COSC,592,10,OS5,3,Big Data II,MW,11:00 am-12:50 pm,30,0,30,0,0,0,30,5,25,Andrii Kashliev (P),08/30-12/17,ONLINE,
,14299,COSC,616,0,OS5,3,Algorithms in Bioinformatics,MW,05:30 pm-07:10 pm,25,2,23,0,0,0,0,0,0,Li Zhang (P),08/30-12/17,ONLINE,
,14300,COSC,631,0,OS5,3,eCommerce & Web DB Infrastruct,MW,01:00 pm-02:50 pm,25,12,13,0,0,0,0,0,0,Siyuan Jiang (P),08/30-12/17,ONLINE,
,14988,COSC,683,0,M5,3,Software Engineering Practicum,,TBA,5,0,5,0,0,0,0,0,0,Augustine Ikeji (P),08/30-12/17,TBA,
